t_s,B_x_nT,B_y_nT,B_z_nT
76,-26361.6819028648,14017.2173358365,6694.05943279375
76.5,-26116.1137087081,14986.9700135724,5452.92840528621
77,-25758.271503607,15981.3045086775,4203.57920986732
77.5,-25285.0861185783,16990.6646831124,2951.22148481614
78,-24694.4560391701,18005.1950409415,1701.07093677476
78.5,-23985.2722245525,19014.8363462364,458.327683371714
79,-23157.4333192665,20009.423039186,-771.84530884021
79.5,-22211.8511544069,20978.7814737893,-1984.34360152353
80,-21150.4465354351,21912.8280020502,-3174.14238812095
80.5,-19976.1354123982,22801.6659416344,-4336.31723652022
81,-18692.8056239674,23635.680485932,-5466.0643851816
81.5,-17305.2844984215,24405.630646778,-6558.72050913215
82,-15819.297681626,25102.737359971,-7609.78187461756
82.5,-14241.419643464,25718.7669314355,-8614.922803921
83,-12579.0163894597,26246.1090565704,-9570.01337489947
83.5,-10840.1809730079,26677.8487062019,-10471.1362831363
84,-9033.66246531139,27007.831238786,-11314.6027982499
84.5,-7168.78909454724,27230.7201692921,-12096.9677498194
85,-5255.38631274138,27342.0470997799,-12815.0434825657
85.5,-3303.69058819814,27338.2533943164,-13465.91272485
86,-1324.25975303424,27216.7232608878,-14046.9403191977
86.5,672.11924062065,26975.8079846739,-14555.7837684022
87,2674.52428587095,26614.8411398562,-14990.4025557946
87.5,4671.99292919919,26134.1446904227,-15349.0662034532
88,6653.61714190107,25535.0259736328,-15630.3610374534
88.5,8608.63718169057,24819.7656423457,-15833.195634696
89,10526.5336852923,23991.5967237371,-15956.8049313795
89.5,12397.1171541153,23054.6750314459,-16000.7529787716
90,14210.6140235787,22014.0412453406,-15964.9343375683
90.5,15957.7485421508,20875.5750472784,-15849.5741077677
91,17629.8197284461,19645.9417718411,-15655.2265966262
91.5,19218.7727235147,18332.5320974744,-15382.772632857
92,20717.2639104099,16943.3953651042,-15033.4155407747
92.5,22118.7192338066,15487.1671675627,-14608.675793544
93,23417.3852183882,13972.9919034348,-14110.3843700418
93.5,24608.3722553203,12410.4410326804,-13540.6748450666
94,25687.6898007587,10809.4278080899,-12901.9742477018
94.5,26652.2732082462,9180.1192858461,-12196.9927275485
95,27500.0019972528,7532.84643981632,-11428.7120732622
95.5,28229.7094421372,5878.01321742128,-10600.3731323433
96,28841.1834485699,4226.00537982448,-9715.46218542895
96.5,29335.1587670093,2587.09996571306,-8777.69633239248
97,29713.3006742492,971.376206140945,-7791.00795137354
97.5,29978.180333404,-611.371302038583,-6759.52829541307
98,30133.242119096,-2151.71638441567,-5687.57029465344
98.5,30182.7632671897,-3640.68129443127,-4579.61063506783
99,30131.8062764216,-5069.81223357371,-3440.27118740062
99.5,29986.1645519973,-6431.24973242063,-2274.29986242386
100,29752.3018380955,-7717.79329261321,-1086.550970738
100.5,29437.2860367351,-8922.9597487244,118.034832836368
101,29048.7180542881,-10041.0348719037,1334.45093871974
101.5,28594.6563537924,-11067.1178033286,2557.64542313368
102,28083.5379210371,-11997.1579740471,3782.54185612269
102.5,27524.0963751289,-12827.9842379602,5004.06019283297
103,26925.2779700109,-13557.3260156927,6217.13766359278
103.5,26296.1562423741,-14183.8263182421,7416.74957840592
104,25645.846063837,-14707.0465899042,8597.92996185264
104.5,24983.4178515002,-15127.4633795002,9755.79193509256
105,24317.8126813607,-15446.4569168541,10885.5477626768
105.5,23657.7590339997,-15666.2917373848,11982.5284832024
106,23011.6918818104,-15790.0895612297,13042.2030444766
106.5,22387.674802216,-15821.794694241,14060.1968657959
107,21793.3257721917,-15766.1322762703,15032.3097521871
107.5,21235.747266284,-15628.5597572222,15954.5330879858
108,20721.4612435088,-15415.2120332894,16823.0662399554
108.5,20256.3495682554,-15132.8407244616,17634.3321032443
109,19845.6003668242,-14788.7481197556,18384.9917268551
109.5,19493.6607746582,-14390.7163585119,19071.9579589325
110,19204.1964798067,-13946.9324544529,19692.4080560574
110.5,18980.0584158068,-13465.9098038264,20243.7952048585
111,18823.2569020655,-12956.4068496954,20723.858908595
111.5,18734.9434720734,-12427.3436010471,21130.6341959178
112,18715.4005695034,-11887.7167276076,21462.4596137633
112.5,18764.0392295703,-11346.5139687671,21717.9839712541
113,18879.4047981717,-10812.6286074761,21896.1718065576
113.5,19059.1906745297,-10294.7747670231,21996.3075538683
114,19300.2599946566,-9801.40428983806,22017.998393008
114.5,19598.6751033824,-9340.62595253251,21961.1757695608
115,19949.7345924091,-8920.12775990597,21826.0955789501
115.5,20348.0176115012,-8547.10304232064,21613.3370134082
116,20787.4350901527,-8228.18105540949,21323.8000763446
116.5,21261.2874386682,-7969.36274836928,20958.7017741815
117,21762.3282313775,-7775.96232702488,20519.5710012511
117.5,22282.8333115704,-7652.55519048511,20008.2421388265
118,22814.6746986059,-7602.93276571713,19426.8473947525
118.5,23349.3986234595,-7630.0647030689,18777.8079154348
119,23878.306970632,-7736.0688281304,18063.8237071037
119.5,24392.5413627524,-7922.18917196056,17287.86240828
120,24883.1690901602,-8188.78232337159,16453.1469601944
120.5,25341.2700619833,-8535.31226454422,15563.1422265429
121,25758.0239383284,-8960.35376575126,14621.5406183664
121.5,26124.7965956458,-9461.60432749214,13632.2467840055
122,26433.2250794071,-10035.9045700615,12599.3614279866
122.5,26675.3002100999,-10679.2668827068,11527.1643263178
123,26843.4460301435,-11386.912058308,10420.0966090059
123.5,26930.5953104424,-12153.3135561516,9282.74238362654
124,26930.2603755421,-12972.2489560445,8119.80977648277
124.5,26836.5985551572,-13836.8580928234,6936.11147025839
125,26644.4716265079,-14739.7072922514,5736.54481910223
125.5,26349.4986755878,-15672.8590682431,4526.07162376445
126,25948.1018752496,-16627.9465880526,3309.69765073542
126.5,25437.5447528025,-17596.2521670815,2092.45198031187
127,24815.9625985994,-18568.7890187407,879.366269128899
127.5,24082.3847487351,-19536.3854575945,-324.545987049934
128,23236.7485583764,-20489.7707359298,-1514.31010459855
128.5,22279.9049663266,-21419.6616848817,-2685.01069212865
129,21213.6156351458,-22316.8493311267,-3831.8118750214
129.5,20040.5417335468,-23172.2846686162,-4949.9771811571
130,18764.2245079718,-23977.1627814581,-6034.8890061218
130.5,17389.0578674296,-24723.0045383652,-7082.06757802029
131,15920.2532791446,-25401.7351105181,-8087.18934420289
131.5,14363.7973417262,-26005.758602629,-9046.10470471066
132,12726.4024669132,-26528.0281308136,-9954.8550200477
132.5,11015.4511600717,-26962.1107299349,-10809.6888239896
133,9238.934443193,-27302.2465267403,-11607.0771755188
133.5,7405.38501190168,-27543.4016727411,-12343.7280876275
134,5523.80575976059,-27681.3145917871,-13016.5999746277
134.5,3603.59433880005,-27712.535161076,-13622.9140637478
135,1654.46445463017,-27634.4565103772,-14160.1657211429
135.5,-313.635382352956,-27445.3391919946,-14626.1346470006
136,-2290.60491130793,-27144.3275429613,-15018.8938991508
136.5,-4266.27623194268,-26731.4581306563,-15336.8177094742
137,-6230.49821904465,-26207.6602429835,-15578.5880624274
137.5,-8173.22048948594,-25574.7484540013,-15743.2000101373
138,-10084.5761789453,-24835.4073649556,-15829.9657037464
138.5,-11954.9628000706,-23993.1686885788,-15838.5171259833
139,-13775.1204743852,-23052.3809107978,-15768.8075152798
139.5,-15536.2068567922,-22018.1718281295,-15621.1114771111
140,-17229.8681039024,-20896.4043205422,-15396.0237836041
140.5,-18848.3052753888,-19693.625777901,-15094.4568677941
141,-20384.3356009047,-18417.0116527682,-14717.6370241997
141.5,-21831.448093463,-17074.3036627889,-14267.0993326098
142,-23183.8530431896,-15673.7432116409,-13744.6813271074
142.5,-24436.5249825717,-14224.0006380875,-13152.5154373756
143,-25585.2387752152,-12734.1009375927,-12493.0202342203
143.5,-26626.5985441163,-11213.3466298422,-11768.890515986
144,-27558.0592219064,-9671.23846801425,-10983.0862771105
144.5,-28377.9405737496,-8117.39470149772,-10138.8206044579
145,-29085.4336128334,-6561.46961277069,-9239.54655125188
145.5,-29680.5993979416,-5013.072051237,-8288.94304241475
146,-30164.3602716515,-3481.68468196567,-7290.89986885809
146.5,-30538.4836655114,-1976.58465559367,-6249.50183178815
147,-30805.5586643637,-506.766387329284,-5169.01210134557
147.5,-30968.9655850955,919.132891671734,-4053.85485690327
148,-31032.8388848495,2292.904177909,-2908.59727908098
148.5,-31002.0237695449,3606.83373759094,-1737.93096599459
149,-30882.0269249122,4853.76559169265,-546.652848439153
149.5,-30678.9618387261,6027.15893403253,660.35431940481
150,-30399.4892242005,7121.14002159578,1878.14181554917
150.5,-30050.7530903382,8130.54812865306,3101.71507256313
151,-29640.3130353002,9050.9752110007,4326.05398622052
151.5,-29176.0733634908,9878.7989832399,5546.13332921839
152,-28666.2096461243,10611.2091698063,6756.94318835353
152.5,-28119.0933586301,11246.2267488772,7953.50934344406
153,-27543.2152365639,11782.7160667962,9130.91350648975
153.5,-26947.1079949455,12220.3897587945,10284.3133400754
154,-26339.2690543955,12559.8064691398,11408.962174836
154.5,-25728.083911394,12802.3614200708,12500.2283469196
155,-25121.7507797064,12950.2699336831,13553.6140778022
155.5,-24528.2071158147,13006.5440641041,14564.7738205218
156,-23955.0586233091,12974.9625486463,15529.5319984072
156.5,-23409.511309884,12860.0343360305,16443.9000646749
157,-22898.3071460318,12666.9559971207,17304.0928138441
157.5,-22427.6638469166,12401.5633688157,18106.543878775
158,-22003.2192683462,12070.2778247371,18847.9203502604
158.5,-21629.9808743351,11680.0476070371,19525.1364594797
159,-21312.2806975197,11238.2846919338,20135.3662672556
159.5,-21053.7361746638,10752.7976973299,20676.0553079224
160,-20857.2171976993,10231.7213739226,21144.9311397079
160.5,-20724.8196761802,9683.44325135806,21540.0127578315
161,-20657.8458597158,9116.52803797619,21859.618831025
161.5,-20656.7916189191,8539.64039623615,22102.3747268595
162,-20721.340830749,7961.46673567089,22267.2182961021
162.5,-20850.3669589641,7390.6366808287,22353.4043913156
163,-21041.9418629419,6835.64488272004,22360.5081000184
163.5,-21293.3518086153,6304.77384839903,22288.426677937
164,-21601.1205941022,5806.01846406671,22137.3801731765
164.5,-21961.0396401744,5347.01288210574,21907.910737486
165,-22368.2048325884,4934.96043139924,21600.8806261861
165.5,-22817.0598400634,4576.56719286532,21217.4688937221
166,-23301.4455690632,4277.97985813803,20759.1667971994
166.5,-23814.6553552647,4044.72845862787,20227.7719256032
167,-24349.4954324953,3881.67451478809,19625.3810776987
167.5,-24898.3501638473,3792.9651114036,18954.3819168081
168,-25453.2514674938,3781.99335434373,18217.4434357583
168.5,-26005.9518222914,3851.36560785048,17417.5052702494
169,-26548.0001963921,4002.87584957001,16557.7659036998
169.5,-27070.8202065613,4237.48741381534,15641.6698112479
170,-27565.7897874013,4555.32232272106,14672.8935950124
170.5,-28024.3216287979,4955.65833088111,13655.3311669187
171,-28437.9436271011,5436.93373269314,12593.0780393616
171.5,-28798.3785911495,5996.75990398774,11490.4147876816
172,-29097.6224484294,6631.94147165309,10351.7897518659
172.5,-29328.0202094451,7338.50392795738,9181.80104803335
173,-29482.338969634,8111.72843118377,7985.17796310434
173.5,-29553.8372575999,8946.19346206435,6766.76180859523
174,-29536.330075625,9835.82293729606,5531.48631168432
174.5,-29424.2490227999,10773.9403180361,4284.35762358104
175,-29212.696941982,11753.3281934882,3030.43402677301
175.5,-28897.4965884039,12766.2927681789,1774.80542392939
176,-28475.2328792337,13804.7326368145,522.572692095951
176.5,-27943.2883488524,14860.2111931239,-721.173013673864
177,-27299.8715031344,15924.0319890776,-1951.37092294588
177.5,-26544.0378366554,16987.3163384848,-3163.01119467299
178,-25675.7033486206,18041.0824441998,-4351.1552605188
178.5,-24695.6504655011,19076.3253209122,-5510.95588403005
179,-23605.5263501019,20084.096785547,-6637.67685416472
179.5,-22407.8336472794,21055.5847943533,-7726.71223323153
180,-21105.9137851102,21982.1914194528,-8773.60508116956
180.5,-19703.9230163905,22855.6087775297,-9774.06558028838
181,-18206.8014483818,23667.8922490069,-10723.9884870879
181.5,-16620.2353682815,24411.5303570041,-11619.4698405742
182,-14950.6132276186,25079.5107111145,-12456.8228595703
182.5,-13204.9757003403,25665.3814610867,-13232.5929648748
183,-11390.9602765445,26163.3077493961,-13943.5718657344
183.5,-9516.74089640844,26568.122698977,-14586.8106539551
184,-7590.96316672843,26875.3725226251,-15159.6318530555
184.5,-5622.67573548956,27081.3553933872,-15659.6403741607
185,-3621.25842792826,27183.1537702055,-16084.7333348168
185.5,-1596.34777054743,27178.6599298418,-16433.1087015606
186,442.239452576334,27066.5945142785,-16703.2727218833
186.5,2484.58395416108,26846.5179620425,-16894.0461161638
187,4520.7423442822,26518.8347518495,-17004.5690051922
187.5,6540.82551049216,26084.7904472535,-17034.3045540353
188,8535.07631403589,25546.4615912294,-16983.0413181937
188.5,10493.9459472246,24906.7385593955,-16850.8942832392
189,12408.1683108993,24169.3015394906,-16638.3045943818
189.5,14268.8317900907,23338.5898622907,-16346.0379776716
190,16067.4478303824,22419.7649649193,-15975.1818597762
190.5,17796.015746992,21418.6673209909,-15527.1411984592
191,19447.0832330071,20341.7677227201,-15003.6330410053
191.5,21013.8020723212,19196.1133475384,-14406.6798328711
192,22489.9786062925,17989.2690853867,-13738.6015037617
192.5,23870.1185506297,16729.2546422298,-13002.0063631317
193,25149.4658100532,15424.477970011,-12199.7808417616
193.5,26324.0349923883,14083.6656028527,-11335.0781205503
194,27390.63738036,12715.790503448,-10411.3056919764
194.5,28346.9001778746,11329.9980420197,-9432.11190380282
195,29191.2789073504,9935.53074273988,-8401.3715385108
195.5,29923.0628950286,8541.65243898748,-7323.17048564612
196,30542.3738414848,7157.57247925657,-6201.78956772416
196.5,31050.1575340957,5792.37061997128,-5041.6875835646
197,31448.1688163532,4454.92323007483,-3847.48363590158
197.5,31738.9499850249,3153.83141528183,-2623.93881283056
198,31925.8028397027,1897.35164763982,-1375.93729510429
198.5,32012.7546597159,693.329458928197,-108.466963468794
199,32004.5184303144,-450.863275114437,1173.40041786915
199.5,31906.4476830788,-1528.38696820263,2464.52936393273
200,31724.4863544165,-2532.98842187861,3759.74109878305
200.5,31465.1141005876,-3459.04997787515,5053.8341723616
201,31135.2875378439,-4301.63335750452,6341.60518353798
201.5,30742.3779019639,-5056.5178668989,7617.86952808054
202,30294.1056427431,-5720.23269399242,8877.48209011399
202.5,29798.4724859911,-6290.08307101143,10115.3577957712
203,29263.6915084236,-6764.17012451427,11326.4919481895
203.5,28698.115779734,-7141.40428333273,12505.9802637426
204,28110.1661312949,-7421.51216281156,13649.0385304383
204.5,27508.2586125905,-7605.03689127379,14751.0218107481
205,26900.7321948597,-7693.33189146919,15807.4431127615
205.5,26295.7772767159,-7688.54817575137,16813.9914554776
206,25701.3655389003,-7593.61525878075,17766.5492562526
206.5,25125.1816849526,-7412.21583560294,18661.2089709041
207,24574.5575915475,-7148.75441596809,19494.288919737
207.5,24056.4093766123,-6808.32014770515,20262.3482357807
208,23577.1778751059,-6396.64410281982,20962.2008748153
208.5,23142.772991489,-5920.05133969788,21590.9286303004
209,22758.5223743704,-5385.40809330196,22145.8931000934
209.5,22429.1248324815,-4800.06448243883,22624.7465558488
210,22158.6088819022,-4171.79315890044,23025.4416702019
210.5,21950.2967822109,-3508.72435734115,23346.2400612573
211,21806.7743838491,-2819.2778368911,23585.7196185001
211.5,21729.8670703992,-2112.09223541244,23742.7805790128
212,21720.6220376084,-1395.95238461496,23816.6503277949
212.5,21779.2971058726,-679.715158554884,23806.8869010284
213,21905.3562145855,27.765551106595,23713.3811762826
213.5,22097.4716954096,717.714122780379,23536.3577388997
214,22353.5333673841,1381.50813274086,23276.3744191067
214.5,22670.6644401773,2010.75229258489,22934.3204997591
215,23045.2441531553,2597.35076363119,22511.4135999911
215.5,23472.9370178032,3133.57721901455,22009.1952454237
216,23948.7284700253,3612.14203382195,21429.5251409248
216.5,24466.9666776681,4026.25599959087,20774.5741672104
217,25021.4101880461,4369.68998202287,20046.816127794
217.5,25605.2810411192,4636.82996991243,19249.0182779138
218,26211.3229171623,4822.72699899691,18384.2306720589
218.5,26831.8638341446,4923.14147649968,17455.7743715725
219,27458.882860484,4934.58148024427,16467.228558489
219.5,28084.0802641856,4854.33465989654,15422.416606259
220,28698.9504803945,4680.4934265629,14325.3911622964
220.5,29294.8572467816,4411.97317992918,13180.4183013427
221,29863.1102305306,4048.52338856515,11991.9608124485
221.5,30395.0424524604,3590.73140805425,10764.6606859231
222,30882.0878033511,3040.01899229454,9503.3208698686
222.5,31315.8579450107,2398.63152466617,8212.88636889877
223,31688.217894072,1669.62006678405,6898.42476031449
223.5,31991.359599836,856.816392265711,5565.10620537479
224,32217.8728484091,-35.1987595918117,4218.18303534257
224.5,32360.8128535511,-1001.13391100085,2862.96899369878
225,32413.7639295226,-2035.0311941083,1504.81821729731
225.5,32370.8986822147,-3130.31640525242,149.104040273669
226,32227.0322012386,-4279.85429909025,-1198.80229478122
226.5,31977.6707867221,-5476.00861176771,-2533.55293351429
227,31619.054799493,-6710.7062634779,-3849.84462949138
227.5,31148.1952813413,-7975.50515819507,-5142.43980231668
228,30562.9040523191,-9261.66497219526,-6406.18735031097
228.5,29861.8170538113,-10560.2203031857,-7636.04313487714
229,29044.4107686291,-11862.0555383743,-8827.09005501893
229.5,28111.011611978,-13157.9807924463,-9974.55763214489
230,27062.7982492018,-14438.8082649414,-11073.8410272731
230.5,25901.7968571573,-15695.4283706508,-12120.5194150464
231,24630.8694054428,-16918.8850060612,-13110.3736415652
231.5,23253.6950910802,-18100.4493292184,-14039.4030959299
232,21774.7451152857,-19231.6914493142,-14903.8417285504
232.5,20199.2510433641,-20304.5494454821,-15700.1731527145
233,18533.1670382972,-21311.3951613779,-16425.1447695842
233.5,16783.1263050641,-22245.096252817,-17075.780860714
234,14956.3921259647,-23099.0739997489,-17649.3945963221
234.5,13060.8039070808,-23867.3564308971,-18143.5989118867
235,11104.7186923566,-24544.6263492473,-18556.3162101698
235.5,9096.94863450453,-25126.2638889751,-18885.7868504595
236,7046.69494089473,-25608.3832791652,-19130.576391662
236.5,4963.47883765179,-25987.86353655,-19289.5815608359
237,2857.070116211,-26262.3728582719,-19362.0349238259
237.5,737.413843435006,-26430.3865361023,-19347.5082398045
238,-1385.44417108793,-26491.1982653649,-19245.9144867322
238.5,-3501.43254889878,-26444.9247747344,-19057.5085499993
239,-5600.52955258166,-26292.5037567601,-18782.886571766
239.5,-7672.8377279512,-26035.6851330584,-18422.9839637785
240,-9708.65738086808,-25677.015742209,-17979.0720916626
240.5,-11698.5583020702,-25219.8175920324,-17452.7536438721
241,-13633.4491693462,-24668.1598706619,-16845.95670358
241.5,-15504.6440771819,-24026.8249621271,-16160.9275468125
242,-17303.9256695809,-23301.2687615362,-15400.2221950376
242.5,-19023.6043819202,-22497.575631836,-14566.6967551917
243,-20656.5733322205,-21622.4083880347,-13663.4965847683
243.5,-22196.3584407648,-20682.9537351689,-12694.0443240561
244,-23637.1633992112,-19686.8636227273,-11662.0268419124
244.5,-24973.9091557676,-18642.193010272,-10571.3811455557
245,-26202.2676311161,-17557.3345662574,-9426.279308759
245.5,-27318.6894300407,-16440.9508442445,-8231.11247650452
246,-28320.4253655342,-15301.9044976202,-6990.47400761369
246.5,-29205.5416649212,-14149.1871054328,-5709.1418200781
247,-29972.9287806138,-12991.8471879985,-4392.06000678647
247.5,-30622.3037809074,-11838.9179915837,-3044.31979205616
248,-31154.2063481335,-10699.3456168487,-1671.13990182852
248.5,-31569.9884619612,-9581.91805609046,-277.846422573019
249,-31871.7978941916,-8495.19568993794,1130.14777414446
249.5,-32062.5556875717,-7447.44377539512,2547.36396283982
250,-32145.9278346082,-6446.56743442504,3968.27877109505
250.5,-32126.2914128005,-5500.04962605693,5387.34558134153
251,-32008.6954699196,-4614.89255577197,6799.01604565873
251.5,-31798.8169868184,-3797.56294414904,8197.76163131714
252,-31502.9122757064,-3053.94154291156,9578.09511460149
252.5,-31127.7641988729,-2389.27725105357,10934.5919405496
253,-30680.6256165885,-1808.1461470539,12261.9113666377
253.5,-30169.1594934542,-1314.41571567755,13554.8173091344
254,-29601.3761099965,-911.214509829412,14808.1988118269
254.5,-28985.5678409757,-600.907449618053,16017.0900581039
255,-28330.2419739121,-385.076922405795,17176.6898489481
255.5,-27644.0520508999,-264.509809295859,18282.3804712438
256,-26935.7282240713,-239.190525319174,19329.7458829556
256.5,-26214.0071202147,-308.300122560786,20314.5891441455
257,-25487.5617131571,-470.221467596035,21232.9490255018
257.5,-24764.9317036466,-722.550466850161,22081.1157290089
258,-24054.4549056102,-1062.11327579087,22855.6456586171
258.5,-23364.2001347856,-1484.9893901497,23553.3751822416
259,-22701.9020906968,-1986.54047959056,24171.4333301396
259.5,-22074.8987156435,-2561.44478637298,24707.2533786578
260,-21490.0715045709,-3203.73687359794,25158.5832725056
260.5,-20953.7892271682,-3906.85246963199,25523.4948430776
261,-20471.8555080408,-4663.67811738864,25800.3917849034
261.5,-20049.4606920551,-5466.60529948578,25988.0163570297
262,-19691.1383996987,-6307.58867313694,26085.4547810264
262.5,-19400.7271512997,-7178.20801229402,26092.1413123256
263,-19181.3374090096,-8069.73341942715,26007.8609667444
263.5,-19035.3243514341,-8973.1933358575,25832.7508892735
264,-18964.2666576244,-9879.44484826053,25567.3003575305
264.5,-18968.9515348419,-10779.245760388,25212.3494176373
265,-19049.3661781979,-11663.3278737966,24769.0861556777
265.5,-19204.6958001694,-12522.4709000204,24239.0426132987
266,-19433.3283144455,-13347.5764097736,23624.0893613984
266.5,-19732.8657020142,-14129.7412129707,22926.428751198
267,-20100.1420284233,-14860.3295571347,22148.5868672711
267.5,-20531.2480204039,-15531.0435315465,21293.4042123002
268,-21021.5620482954,-16133.9910706484,20364.0251584128
268.5,-21565.7872987821,-16661.750962973,19363.8862048929
269,-22157.9948612404,-17107.4342913645,18296.7030868559
269.5,-22791.6723914201,-17464.7417564755,17166.4567840848
270,-23459.7779591746,-17728.0163683076,15977.3784836354
270.5,-24154.7986334279,-17892.2910296414,14733.9335540104
271,-24868.8133083888,-17953.3305801268,13440.8045926614
271.5,-25593.5592309918,-17907.6679200467,12102.8736122746
272,-26320.5016513765,-17752.6338876349,10725.2034347346
272.5,-27040.905986498,-17486.3806225746,9313.01836481111
273,-27745.9118621666,-17107.8982100718,7871.68421846861
273.5,-28426.6083812656,-16617.0244637951,6406.68778325693
274,-29074.1099557809,-16014.4477710781,4923.61579047374
274.5,-29679.6320376165,-15301.702989152,3428.13348071215
275,-30234.5660878658,-14481.1604459249,1925.9628459936
275.5,-30730.5531360003,-13556.008162069,422.860632944892
276,-31159.5552989635,-12530.2274721349,-1075.40380760062
276.5,-31513.9246549334,-11408.5622803652,-2563.07073861355
277,-31786.4688969819,-10196.4822412089,-4034.4122362828
277.5,-31970.5132273822,-8900.14020473545,-5483.75428471832
278,-32059.9579932238,-7526.32431281011,-6905.49868025866
278.5,-32049.3316075884,-6082.40517273246,-8294.14466046601
279,-31933.8383471356,-4576.27857086957,-9644.31017398626
279.5,-31709.4006658506,-3016.30421955333,-10950.7527088762
280,-31372.6957152936,-1411.24105615874,-12208.389598742
280.5,-30921.1858133527,229.820366084677,-13412.3177280896
281,-30353.1426557095,1897.52784023583,-14557.8325606502
281.5,-29667.6651165106,3582.33925435626,-15640.4464170994
282,-28864.6905366779,5274.59555382298,-16655.9059315339
282.5,-27944.9994495614,6964.59434192883,-17600.2086192849
283,-26910.2137439476,8642.66354514617,-18469.6184921263
283.5,-25762.7883135563,10299.234574922,-19260.6806606614
284,-24505.9962899202,11924.9144269726,-19970.2348676305
284.5,-23143.9080017763,13510.5561715736,-20595.4279000545
285,-21681.3638487055,15047.327304157,-21133.7248325082
285.5,-20123.9413196023,16526.7754444983,-21582.9190583677
286,-18477.9164275537,17940.8908948233,-21941.1410705999
286.5,-16750.2198717141,19282.1655921987,-22206.86595852
287,-14948.3882736714,20543.6480185362,-22378.9195919299
287.5,-13080.5108704329,21718.9936623825,-22456.4834691357
288,-11155.1720783525,22802.510660316,-22439.0982105086
288.5,-9181.39037186266,23789.2002821507,-22326.6656844812
289,-7168.55394752905,24674.7919631544,-22119.4497581295
289.5,-5126.35366747278,25455.7726279698,-21818.075669773
290,-3064.71379633364,26129.4100947126,-21423.528026291
290.5,-993.721062407967,26693.7703935506,-20937.147433097
291,1076.44741387217,27147.7288816699,-20360.6257699067
291.5,3135.59677259449,27490.9750855408,-19696.0001305537
292,5173.58709266916,27724.0112514028,-18945.6454501407
292.5,7180.40554089639,27848.1446354449,-18112.2658477385
293,9146.23744221047,27865.4736157399,-17198.8847176342
293.5,11061.5357315606,27778.8677580767,-16208.8336067892
294,12917.0882626728,27591.9420168398,-15145.7399206484
294.5,14704.0824683777,27309.0252994536,-14013.5135037621
295,16414.1668911049,26935.1236680436,-12816.3321458025
295.5,18039.5091302986,26475.878494351,-11558.6260674813
296,19572.8497855671,25937.5199230212,-10245.061444578
296.5,21007.5520099396,25326.816033744,-8880.52303177585
297,22337.6463262169,24651.0181239331,-7470.0959512489
297.5,23557.8704005414,23917.802560389,-6019.04671394955
298,24663.7035104423,23135.2096704614,-4532.80354430429
298.5,25651.3954891466,22311.5801604706,-3016.93608152383
299,26517.989973324,21455.489561522,-1477.13453297318
299.5,27261.3418270725,20575.681210402,80.8116429846032
300,27880.1286603191,19680.9982761227,1651.03544555586
300.5,28373.8564044064,18780.3153410982,3227.61435096015
301,28742.8589510026,17882.4700401991,4804.59256106891
301.5,28988.2919022434,16996.1952513765,6376.0033986983
302,29112.1205198595,16130.052318593,7935.89176643533
302.5,29117.10199874,15292.3657718524,9478.33658558822
303,29006.7622257594,14491.159990636,10997.4731318445
303.5,28785.3672176814,13734.0982364557,12487.5151845081
304,28457.889462524,13028.4244579433,13942.776906759
304.5,28029.9694169804,12380.9082482877,15357.6943752406
305,27507.8724384507,11797.7933102463,16726.8466784318
305.5,26898.4414540779,11284.7497586675,18044.9765046966
306,26209.0456910943,10846.8305646899,19307.0101426222
306.5,25447.5258129388,10488.4324196757,20508.0768182633
307,24622.1358242027,10213.261270576,21643.5272961841
307.5,23741.4821246727,10024.3027518306,22708.9516737415
308,22814.4601087047,9923.79771203078,23700.1963008737
308.5,21850.1887209984,9913.22300631986,24613.3797607296
309,20857.9433935993,9993.27769774529,25444.9078498064
309.5,19847.0878016399,10163.8747823216,26191.4874998331
310,18827.004886873,10424.138523245,26850.1395874407
310.5,17807.0276083348,10772.407449319,27418.2105816822
311,16796.3698882954,11206.2430410387,27893.3829837014
311.5,15804.0582287707,11722.444094788,28273.6845172756
312,14838.8644789626,12317.0667211349,28557.4960335633
312.5,13909.2402367186,12985.4498972162,28743.5580981632
313,13023.253367069,13722.2464557173,28830.9762335053
313.5,12188.5271176996,14521.4593540776,28819.2247946459
314,11412.1823044505,15376.4830274857,28708.1494616918
314.5,10700.7830292035,16280.149588254,28497.9683373259
315,10060.2863774713,17224.7795926622,28189.2716432221
315.5,9495.9965233369,18202.2370547829,27783.0200144928
316,9012.52364487468,19203.9883457196,27280.5413967038
316.5,8613.7480236768,20221.1645766851,26683.5265553671
317,8302.78966757529,21244.6270261183,25994.0232131911
317.5,8081.98375616531,22265.0351352702,25214.4288356804
318,7952.86216450627,23272.9165641142,24347.4820909233
318.5,7916.14127172901,24258.7387707669,23396.2530145582
319,7971.71620867372,25212.9815535232,22364.1319159459
319.5,8118.66164269471,26126.2099757504,21254.8170664736
320,8355.23913909313,26989.1470808018,20072.3012156521
320.5,8678.9110780563,27792.7457972538,18820.8569852251
321,9086.36104436136,28528.2594344915,17505.0211958631
321.5,9573.52054535539,29187.3101751608,16129.5781851511
322,10135.6018518047,29761.9549843515,14699.5421794789
322.5,10767.1366970604,30244.7483754942,13220.1387860888
