<Arduino is ready>
Dipole: t_s,0.00,0.00,0.00
Dipole: 0,0.00,0.00,0.00
Dipole: 0.5,-0.59,-0.04,0.16
Dipole: 1,-0.59,-0.00,0.13
Dipole: 1.5,-0.60,0.03,0.11
Dipole: 2,-0.60,0.06,0.08
Dipole: 2.5,-0.60,0.09,0.05
Dipole: 3,-0.60,0.11,0.02
Dipole: 3.5,-0.59,0.14,-0.00
Dipole: 4,-0.59,0.17,-0.03
Dipole: 4.5,-0.58,0.19,-0.06
Dipole: 5,-0.57,0.21,-0.09
Dipole: 5.5,-0.55,0.23,-0.12
Dipole: 6,-0.54,0.24,-0.14
Dipole: 6.5,-0.53,0.25,-0.17
Dipole: 7,-0.51,0.27,-0.20
Dipole: 7.5,-0.50,0.27,-0.23
Dipole: 8,-0.48,0.28,-0.25
Dipole: 8.5,-0.46,0.28,-0.28
Dipole: 9,-0.45,0.29,-0.30
Dipole: 9.5,-0.43,0.28,-0.32
Dipole: 10,-0.42,0.28,-0.34
Dipole: 10.5,-0.40,0.28,-0.36
Dipole: 11,-0.39,0.27,-0.38
Dipole: 11.5,-0.38,0.26,-0.40
Dipole: 12,-0.37,0.25,-0.42
Dipole: 12.5,-0.36,0.24,-0.43
Dipole: 13,-0.35,0.23,-0.44
Dipole: 13.5,-0.34,0.21,-0.46
Dipole: 14,-0.34,0.20,-0.47
Dipole: 14.5,-0.34,0.18,-0.47
Dipole: 15,-0.33,0.17,-0.48
Dipole: 15.5,-0.34,0.15,-0.49
Dipole: 16,-0.34,0.14,-0.49
Dipole: 16.5,-0.34,0.12,-0.49
Dipole: 17,-0.35,0.11,-0.49
Dipole: 17.5,-0.36,0.10,-0.49
Dipole: 18,-0.36,0.08,-0.48
Dipole: 18.5,-0.37,0.07,-0.48
Dipole: 19,-0.39,0.06,-0.47
Dipole: 19.5,-0.40,0.05,-0.46
Dipole: 20,-0.41,0.05,-0.45
Dipole: 20.5,-0.43,0.04,-0.43
Dipole: 21,-0.44,0.04,-0.42
Dipole: 21.5,-0.45,0.04,-0.40
Dipole: 22,-0.47,0.04,-0.39
Dipole: 22.5,-0.48,0.04,-0.37
Dipole: 23,-0.50,0.05,-0.35
Dipole: 23.5,-0.51,0.06,-0.33
Dipole: 24,-0.52,0.06,-0.31
Dipole: 24.5,-0.53,0.08,-0.28
Dipole: 25,-0.54,0.09,-0.26
Dipole: 25.5,-0.55,0.10,-0.23
Dipole: 26,-0.56,0.12,-0.21
Dipole: 26.5,-0.56,0.14,-0.18
Dipole: 27,-0.57,0.16,-0.16
Dipole: 27.5,-0.57,0.18,-0.13
Dipole: 28,-0.57,0.20,-0.10
Dipole: 28.5,-0.56,0.22,-0.08
Dipole: 29,-0.55,0.25,-0.05
Dipole: 29.5,-0.55,0.27,-0.02
Dipole: 30,-0.53,0.29,0.00
Dipole: 30.5,-0.52,0.32,0.03
Dipole: 31,-0.50,0.34,0.06
Dipole: 31.5,-0.48,0.36,0.08
Dipole: 32,-0.46,0.39,0.11
Dipole: 32.5,-0.43,0.41,0.13
Dipole: 33,-0.41,0.43,0.15
Dipole: 33.5,-0.38,0.45,0.18
Dipole: 34,-0.35,0.46,0.20
Dipole: 34.5,-0.31,0.48,0.22
Dipole: 35,-0.28,0.49,0.24
Dipole: 35.5,-0.24,0.50,0.25
Dipole: 36,-0.20,0.51,0.27
Dipole: 36.5,-0.16,0.51,0.28
Dipole: 37,-0.12,0.52,0.30
Dipole: 37.5,-0.08,0.52,0.31
Dipole: 38,-0.04,0.52,0.32
Dipole: 38.5,0.01,0.51,0.33
Dipole: 39,0.05,0.51,0.34
Dipole: 39.5,0.09,0.50,0.34
Dipole: 40,0.13,0.48,0.35
Dipole: 40.5,0.17,0.47,0.35
Dipole: 41,0.21,0.45,0.35
Dipole: 41.5,0.25,0.43,0.35
Dipole: 42,0.29,0.41,0.34
Dipole: 42.5,0.33,0.39,0.34
Dipole: 43,0.36,0.36,0.33
Dipole: 43.5,0.39,0.33,0.32
Dipole: 44,0.42,0.30,0.31
Dipole: 44.5,0.45,0.27,0.30
Dipole: 45,0.48,0.24,0.29
Dipole: 45.5,0.50,0.21,0.28
Dipole: 46,0.52,0.18,0.26
Dipole: 46.5,0.54,0.14,0.24
Dipole: 47,0.56,0.11,0.23
Dipole: 47.5,0.57,0.08,0.21
Dipole: 48,0.58,0.04,0.19
Dipole: 48.5,0.59,0.01,0.17
Dipole: 49,0.59,-0.02,0.14
Dipole: 49.5,0.60,-0.05,0.12
Dipole: 50,0.60,-0.09,0.10
Dipole: 50.5,0.59,-0.11,0.07
Dipole: 51,0.59,-0.14,0.05
Dipole: 51.5,0.59,-0.17,0.02
Dipole: 52,0.58,-0.19,-0.00
Dipole: 52.5,0.57,-0.22,-0.03
Dipole: 53,0.56,-0.24,-0.06
Dipole: 53.5,0.55,-0.26,-0.08
Dipole: 54,0.54,-0.27,-0.11
Dipole: 54.5,0.52,-0.29,-0.13
Dipole: 55,0.51,-0.30,-0.16
Dipole: 55.5,0.49,-0.31,-0.18
Dipole: 56,0.48,-0.32,-0.21
Dipole: 56.5,0.46,-0.32,-0.23
Dipole: 57,0.45,-0.32,-0.25
Dipole: 57.5,0.44,-0.33,-0.28
Dipole: 58,0.42,-0.33,-0.30
Dipole: 58.5,0.41,-0.32,-0.32
Dipole: 59,0.40,-0.32,-0.34
Dipole: 59.5,0.39,-0.31,-0.35
Dipole: 60,0.38,-0.31,-0.37
Dipole: 60.5,0.37,-0.30,-0.39
Dipole: 61,0.36,-0.29,-0.40
Dipole: 61.5,0.36,-0.28,-0.41
Dipole: 62,0.35,-0.27,-0.42
Dipole: 62.5,0.35,-0.25,-0.43
Dipole: 63,0.35,-0.24,-0.44
Dipole: 63.5,0.35,-0.23,-0.45
Dipole: 64,0.35,-0.22,-0.45
Dipole: 64.5,0.35,-0.21,-0.45
Dipole: 65,0.36,-0.19,-0.46
Dipole: 65.5,0.36,-0.18,-0.46
Dipole: 66,0.37,-0.17,-0.45
Dipole: 66.5,0.38,-0.16,-0.45
Dipole: 67,0.39,-0.16,-0.45
Dipole: 67.5,0.40,-0.15,-0.44
Dipole: 68,0.41,-0.14,-0.43
Dipole: 68.5,0.42,-0.14,-0.42
Dipole: 69,0.43,-0.14,-0.41
Dipole: 69.5,0.44,-0.14,-0.40
Dipole: 70,0.46,-0.14,-0.38
Dipole: 70.5,0.47,-0.14,-0.37
Dipole: 71,0.48,-0.15,-0.35
Dipole: 71.5,0.49,-0.15,-0.33
Dipole: 72,0.50,-0.16,-0.31
Dipole: 72.5,0.51,-0.17,-0.29
Dipole: 73,0.52,-0.18,-0.27
Dipole: 73.5,0.52,-0.20,-0.25
Dipole: 74,0.53,-0.21,-0.23
Dipole: 74.5,0.53,-0.23,-0.21
Dipole: 75,0.53,-0.24,-0.18
Dipole: 75.5,0.53,-0.26,-0.16
Dipole: 76,0.53,-0.28,-0.13
Dipole: 76.5,0.52,-0.30,-0.11
Dipole: 77,0.52,-0.32,-0.08
Dipole: 77.5,0.51,-0.34,-0.06
Dipole: 78,0.49,-0.36,-0.03
Dipole: 78.5,0.48,-0.38,-0.01
Dipole: 79,0.46,-0.40,0.02
Dipole: 79.5,0.44,-0.42,0.04
Dipole: 80,0.42,-0.44,0.06
Dipole: 80.5,0.40,-0.46,0.09
Dipole: 81,0.37,-0.47,0.11
Dipole: 81.5,0.35,-0.49,0.13
Dipole: 82,0.32,-0.50,0.15
Dipole: 82.5,0.28,-0.51,0.17
Dipole: 83,0.25,-0.52,0.19
Dipole: 83.5,0.22,-0.53,0.21
Dipole: 84,0.18,-0.54,0.23
Dipole: 84.5,0.14,-0.54,0.24
Dipole: 85,0.11,-0.55,0.26
